graph-1000-10, p=0
partialcol targetK 60 dynamic 60 MiSS 0
tabucol targetK 60 reactive 59 MISS 0
partialcol targetK 60 reactive 59 MiSS 0
tabucol targetK 62 dynamic 62 HIT 2
partialcol targetK 62 dynamic 61 HIT 4
tabucol targetK 62 reactive 61 HIT 4
partialcol targetK 62 reactive 61 HIT 3
tabucol targetK 61 dynamic 61 MiSS 0
partialcol targetK 61 dynamic 61 MiSS 0
tabucol targetK 61 reactive 60 MISS 0
partialcol targetK 61 reactive 60 MiSS 0

graph-1000-10, p=50
tabucol targetK 61 dynamic 61 MiSS 0
partialcol targetK 61 dynamic 61 MiSS 0
tabucol targetK 61 reactive 60 MISS 0
partialcol targetK 61 reactive 60 MiSS 0
tabucol targetK 70 dynamic 70 MiSS 0
partialcol targetK 70 dynamic 70 MiSS 0
tabucol targetK 70 reactive 69 MISS 0
partialcol targetK 70 reactive 69 MiSS 0
tabucol targetK 75 dynamic 74 MiSS 0
partialcol targetK 75 dynamic 74 MiSS 0
tabucol targetK 75 reactive 74 MISS 0
partialcol targetK 75 reactive 74 MiSS 0
tabucol targetK 80 dynamic 79 MiSS 0
partialcol targetK 80 dynamic 79 MiSS 0
tabucol targetK 80 reactive 79 MISS 0
partialcol targetK 80 reactive 79 MiSS 0
tabucol targetK 85 dynamic 84 HIT 5
partialcol targetK 85 dynamic 84 HIT 5
tabucol targetK 85 reactive 84 HIT 5
tabucol targetK 85 reactive 84 HIT 5
partialcol targetK 85 dynamic 84 HIT 5
partialcol targetK 85 reactive 84 HIT 5
tabucol targetK 85 dynamic 84 HIT 5
tabucol targetK 85 reactive 84 HIT 5
partialcol targetK 85 reactive 84 HIT 5
tabucol targetK 85 reactive 84 HIT 5
partialcol targetK 85 dynamic 84 HIT 5
partialcol targetK 85 reactive 84 HIT 5
tabucol targetK 85 dynamic 84 HIT 5
tabucol targetK 85 reactive 84 HIT 5
partialcol targetK 83 reactive 83 MiSS 0
tabucol targetK 83 reactive 83 MISS 0
tabucol targetK 83 dynamic 83 MiSS 0
partialcol targetK 83 dynamic 83 MiSS 0

tabucol targetK 84 dynamic 83 MiSS 0
partialcol targetK 84 dynamic 83 MiSS 0
partialcol targetK 84 reactive 83 MiSS 0
tabucol targetK 84 reactive 83 MISS 0
tabucol targetK 100 reactive 99 HIT 5
tabucol targetK 100 dynamic 99 HIT 5
partialcol targetK 100 reactive 99 HIT 5
partialcol targetK 86 reactive 85 HIT 5
tabucol targetK 86 reactive 85 HIT 5
partialcol targetK 86 dynamic 85 HIT 5
tabucol targetK 86 dynamic 85 HIT 5

tabucol targetK 23 dynamic 32 MiSS 0
tabucol targetK 23 reactive 22 HIT 1
partialcol targetK 23 reactive 23 HIT 5
partialcol targetK 23 dynamic 32 MiSS 0
partialcol targetK 24 dynamic 33 MiSS 0
partialcol targetK 40 dynamic 46 MiSS 0
partialcol targetK 71 dynamic 73 MiSS 0

graph-1000-10, p=2
tabucol targetK 23 dynamic 31 MiSS 0
partialcol targetK 23 dynamic 31 MiSS 0
tabucol targetK 23 reactive 22 MISS 0
partialcol targetK 23 reactive 22 MiSS 0
tabucol targetK 24 dynamic 33 MiSS 0
partialcol targetK 24 dynamic 32 MiSS 0
tabucol targetK 24 reactive 23 MISS 0
partialcol targetK 24 reactive 24 HIT 5
tabucol targetK 24 dynamic 33 MiSS 0
partialcol targetK 24 dynamic 35 MiSS 0
tabucol targetK 24 reactive 23 MISS 0
tabucol targetK 25 dynamic 33 MiSS 0
partialcol targetK 25 dynamic 35 MiSS 0
tabucol targetK 25 reactive 24 HIT 2
tabucol targetK 35 dynamic 41 MiSS 0
partialcol targetK 35 dynamic 40 MiSS 0
tabucol targetK 50 dynamic 54 MiSS 0
partialcol targetK 50 dynamic 55 MiSS 0
tabucol targetK 65 dynamic 67 MiSS 0
partialcol targetK 65 dynamic 68 MiSS 0
tabucol targetK 75 dynamic 79 MiSS 0
partialcol targetK 75 dynamic 78 MiSS 0
tabucol targetK 79 dynamic 78 HIT 5
partialcol targetK 79 dynamic 78 HIT 5
tabucol targetK 76 dynamic 80 MiSS 0
partialcol targetK 76 dynamic 79 MiSS 0
tabucol targetK 76 reactive 77 MISS 0
tabucol targetK 78 dynamic 77 HIT 5
partialcol targetK 78 dynamic 77 HIT 5
tabucol targetK 77 dynamic 76 HIT 5
partialcol targetK 77 dynamic 76 HIT 5

graph-1000-10, p=3
tabucol targetK 24 reactive 23 MISS 0
partialcol targetK 24 reactive 23 MiSS 0
tabucol targetK 25 reactive 24 MISS 0
partialcol targetK 25 reactive 24 MiSS 0
partialcol targetK 26 reactive 25 MiSS 0
tabucol targetK 26 reactive 25 MISS 0
tabucol targetK 27 reactive 26 MISS 0
partialcol targetK 27 reactive 26 MiSS 0
tabucol targetK 28 reactive 27 MISS 0
partialcol targetK 28 reactive 27 MiSS 0
tabucol targetK 29 reactive 28 MISS 0
partialcol targetK 29 reactive 28 HIT 1
tabucol targetK 30 reactive 29 MISS 0
partialcol targetK 30 reactive 29 MiSS 0
tabucol targetK 30 dynamic 37 MiSS 0
partialcol targetK 30 dynamic 37 MiSS 0
tabucol targetK 31 reactive 30 MISS 0
partialcol targetK 31 reactive 31 HIT 2
partialcol targetK 31 dynamic 39 MiSS 0
tabucol targetK 32 reactive 31 MISS 0
partialcol targetK 32 dynamic 39 MiSS 0
tabucol targetK 33 reactive 32 MISS 0
tabucol targetK 34 reactive 33 HIT 1
partialcol targetK 77 dynamic 76 HIT 5
tabucol targetK 77 dynamic 76 HIT 5
tabucol targetK 76 dynamic 75 HIT 5
partialcol targetK 76 dynamic 75 HIT 5
tabucol targetK 74 dynamic 73 HIT 5
